file,percent_blue,blue_pixels,total_pixels
VNSP2009.jpg,16.04280370978207,33627,209608
VNSP2009c.jpg,37.04591985960807,75996,205140
VNSP2009c2.jpg,38.42103215893731,79019,205666
VNSP2012.jpg,0.0,0,208683
VNSP2016.jpg,25.007408682019367,52319,209214
VNSP2017.jpg,21.14781013086098,43795,207090
VNSP2018.jpg,0.7052623420909866,1456,206448
VNSP2019.jpg,1.3145489970460116,2719,206839
VNSP2020.jpg,0.21288790632932122,442,207621
VNSP2021.jpg,0.2736427849680186,566,206839
VNSP2022.jpg,18.54099639270742,38035,205140
VNSP2025.jpg,27.51841095072271,57134,207621
